               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11511,            0.031455,                   0,           0.0093826,             0.19048,           0.0059557,           0.0010296,            0.096632,            0.022458,                   0,              0.0937,              0.0007,              0.0007
                   1,             0.10711,             0.02919,                   0,            0.026136,             0.33333,            0.028136,           0.0055403,            0.079581,            0.019466,                   0,             0.08647,           0.0014703,           0.0014703
                   2,            0.095007,            0.030809,                   0,            0.092288,              0.2619,            0.072395,            0.019189,            0.066152,            0.018565,                   0,            0.079209,           0.0022089,           0.0022089
                   3,            0.083871,            0.028326,                   0,             0.18419,             0.35714,             0.21025,            0.071518,             0.05669,             0.01687,                   0,            0.071916,           0.0029159,           0.0029159
                   4,            0.071725,             0.02579,                   0,             0.35144,                 0.5,             0.36008,             0.13308,            0.057185,            0.014358,                   0,            0.064591,           0.0035911,           0.0035911
                   5,             0.06371,            0.025768,                   0,             0.41395,             0.42857,              0.2899,            0.088612,            0.056718,            0.014457,                   0,            0.057235,           0.0042347,           0.0042347
                   6,            0.066632,            0.022357,                   0,             0.52098,             0.64746,             0.50088,             0.19923,            0.047529,            0.013357,                   0,            0.049847,           0.0048466,           0.0048466
                   7,            0.060795,             0.01969,                   0,             0.38868,             0.51479,             0.33055,             0.11524,            0.050804,            0.010938,                   0,            0.042427,           0.0054268,           0.0054268
                   8,            0.060885,            0.019885,                   0,             0.49139,             0.59524,              0.5935,             0.20463,            0.047983,           0.0097752,                   0,            0.034975,           0.0059754,           0.0059754
                   9,            0.054859,            0.021026,                   0,             0.57152,             0.69048,             0.72145,             0.23899,            0.039449,            0.010529,                   0,            0.027492,           0.0064922,           0.0064922
                  10,            0.058303,            0.021083,                   0,             0.80537,             0.71429,             0.76303,             0.40447,            0.042175,           0.0079422,                   0,            0.019977,           0.0069774,           0.0069774
                  11,            0.054427,            0.019423,                   0,             0.60174,             0.52381,             0.55091,             0.24756,            0.042897,           0.0072604,                   0,            0.012431,           0.0074309,           0.0074309
                  12,            0.053772,            0.018481,                   0,             0.56357,             0.80952,              0.5652,             0.24666,            0.044505,           0.0064541,                   0,            0.007624,            0.007624,            0.007624
                  13,             0.05134,            0.017319,                   0,             0.58901,             0.83333,              0.6724,             0.31497,            0.042959,           0.0064538,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.046667,            0.017214,                   0,             0.77364,              0.7619,             0.81384,             0.36656,            0.037044,           0.0064485,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.044603,            0.019268,                   0,             0.72645,             0.61905,              0.7311,             0.32224,            0.035073,           0.0063274,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.045086,            0.017631,                   0,             0.67296,             0.78391,             0.81208,             0.37875,            0.040771,           0.0065171,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.041926,            0.013873,                   0,              0.8507,             0.88095,             0.89568,             0.53892,            0.036846,           0.0062776,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.041055,            0.018728,                   0,             0.87947,             0.90476,             0.90468,              0.4553,             0.03383,           0.0067219,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.042293,            0.015315,                   0,             0.90545,             0.85714,             0.89506,             0.45372,            0.032176,            0.006451,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.035893,            0.014892,                   0,             0.84773,             0.79548,             0.90548,             0.49912,            0.030861,           0.0058044,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.033564,            0.013066,                   0,             0.78993,             0.89545,             0.85796,             0.48226,            0.034913,           0.0054379,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.036341,            0.013318,                   0,             0.66002,             0.92857,             0.79567,             0.49031,             0.02762,           0.0051645,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.033619,             0.01341,                   0,             0.85858,             0.90476,             0.88544,             0.55325,            0.025336,           0.0045501,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034084,            0.010931,                   0,              0.8821,             0.89079,             0.89404,             0.54573,            0.028921,            0.004344,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.032207,            0.011351,                   0,             0.94951,             0.89571,             0.95904,             0.52328,            0.028777,           0.0042437,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.034063,            0.013417,                   0,             0.96899,             0.90476,             0.97098,             0.59475,            0.022518,           0.0040135,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.034842,            0.012423,                   0,             0.99004,             0.85714,             0.95644,              0.5232,            0.024283,           0.0041027,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.030683,            0.012994,                   0,                   1,             0.87687,             0.96161,              0.5535,            0.024995,           0.0040196,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.030219,            0.012448,                   0,                   1,             0.89789,             0.96868,             0.62986,            0.020971,           0.0039949,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.028284,            0.014275,                   0,                   1,             0.92025,             0.97279,             0.62783,            0.022534,           0.0041562,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.027471,            0.014304,                   0,             0.99655,             0.90476,             0.96488,             0.66461,            0.020113,           0.0040363,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.028301,            0.012531,                   0,             0.99667,             0.90476,             0.97989,             0.66213,            0.022937,           0.0042326,                   0,            0.003862,            0.003862,            0.003862
                  33,             0.02486,            0.010506,                   0,                   1,              0.9019,             0.98103,             0.72251,             0.01814,           0.0041281,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.026376,            0.011621,                   0,                   1,             0.90154,             0.98228,             0.71224,             0.01873,           0.0041515,                   0,            0.003466,            0.003466,            0.003466
                  35,             0.02657,           0.0098163,                   0,             0.98915,             0.92857,              0.9806,              0.7143,            0.016709,           0.0038657,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.023111,           0.0093459,                   0,             0.98782,             0.92857,             0.98415,             0.71442,            0.018454,           0.0039597,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.023972,           0.0096432,                   0,                   1,             0.90357,             0.98303,             0.75121,            0.015091,           0.0037227,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.022321,            0.010768,                   0,             0.97543,             0.94538,             0.98699,             0.71149,            0.018447,           0.0035669,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.021994,            0.010276,                   0,             0.97339,             0.95238,             0.99001,             0.73917,             0.01676,           0.0033638,                   0,            0.002476,            0.002476,            0.002476
